resp,word
(bir şeyden bi şeye) dönüşmek ,convert from (something) into (something)
"(bir halden, fazdan başka bir hale, faza) geçmek ",convert from (something) into (something)
(bir şeyden bir şeye) dönüştürmek ,convert from (something) into (something)
,
(bir şeyden bir şeye) çevirmek ,convert from (something) into (something)
(bir şeyden) dönüşüp (bir şey) haline gelmek ,convert from (something) into (something)
(bir şeyden) değişip (bir şey) olmak ,convert from (something) into (something)
(bir şeyden başka bir şey) haline dönüşmek ,convert from (something) into (something)
(bir dinden başka bir dine) dönmek ,convert from (something) to (something)
(bir dinden ayrılıp başka bir dine) geçmek ,convert from (something) to (something)
(bir dinden başka bir dine) döndürmek ,convert from (something) to (something)
(bir dinden ayrılmasını sağlayıp başka bir dine) geçirmek ,convert from (something) to (something)
(bir şeyden bi şeye) dönüşmek ,convert from (something) to (something)
"(bir halden, fazdan başka bir hale, faza) geçmek ",convert from (something) to (something)
(bir şeyden bir şeye) dönüştürmek ,convert from (something) to (something)
(bir şeyden bir şeye) çevirmek ,convert from (something) to (something)
(bir şeyden) dönüşüp (bir şey) haline gelmek ,convert from (something) to (something)
(bir şeyden) değişip (bir şey) olmak ,convert from (something) to (something)
(bir şeyden başka bir şey) haline dönüşmek ,convert from (something) to (something)
,
,
paraya dönüştürmek ,convert into actual money
paraya çevirmek ,convert into money
paraya çevirmek ,convert into actual money
,
,
hapis cezasım para cezasına çevirmek ,convert the prison sentence to a fine
,
,
dönüştürme ayrıntısı ,convert details
dönüştürülecek dosyalar ,files to convert
dönüştürme hedefi ,convert to
dönüştürülecek dosya türü ,convert file from
metni sütunlara çevir sihirbazı ,convert text to columns wizard
access'e dönüştür ,convert to access
dönüştürülecek dosyaları veya url adresini seçiniz ,select files or url to convert
dönüştürülecek dosyaları seçin ,select files to convert
dönüştürülecek ,convert to
çizimi dönüştür ,convert drawing
dosyayı dan …'ye dönüştür ,convert file from to
dosyalara dönüştür ,convert to files
dönüştür ,convert to
dönüştürülemiyor ,cannot convert
dönüştürüleceği ,convert to
dönüştürme ,no convert
dipnota dönüştür ,convert to footnote
diyagramı dönüştür ,convert diagram
dosya dönüştür ,convert file
çerçeveye dönüştür ,convert to frame
gıf'e dönüştür ,convert to gif
kalıcı olarak dönüştür ,convert permanently
notları dönüştür ,convert notes
nesne dönüştür ,convert object
nesneyi dönüştür ,convert object
makro dönüştür ,convert macros
metni tabloya dönüştür ,convert text to table
ole dönüştür ,convert ole
microsoft access'e dönüştür ,convert to microsoft access
metin dönüştür ,convert text
şimdi dönüştür ,convert now
sonnota dönüştür ,convert to endnote
tabloyu ya dönüştür ,convert table to
tüm sonnotları dipnotlara dönüştür ,convert all endnotes to footnotes
tabloya dönüştür ,convert table to
tüm dipnotları sonnotlara dönüştür ,convert all footnotes to endnotes
tabloyu metne dönüştür ,convert table to text
web'e dönüştür ,convert to web
veritabanı dönüştür ,convert database
-den -e dönüştür ,convert file from ... to ...
,
,
hapis cezasına çevirmek ,convert to imprisonment
